"PayCode","TotalHoursWorked","LateCount","TotalAbsentHours","TotalUndertime","TotalOvertime","RegularAtt","OvertimeAtt","NightShiftAtt","NightShiftOtAtt","EmpCodeId"
"May-1-31-2025","0.00","0","0.0","575","0.00","{}","{}","{}","{}","EMB10289"
"May-1-31-2025","8.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10295"
"May-1-31-2025","112.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10296"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10298"
"May-1-31-2025","95.97","0","0.0","0","0.00","{}","{}","{}","{}","EMB10299"
"May-1-31-2025","87.07","0","0.0","80","0.00","{}","{}","{}","{}","EMB10300"
"May-1-31-2025","88.00","0","0.0","46","0.00","{}","{}","{}","{}","EMB10309"
"May-1-31-2025","120.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10312"
"May-1-31-2025","80.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10316"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10317"
"May-1-31-2025","95.90","0","0.0","0","0.00","{}","{}","{}","{}","EMB10318"
"May-1-31-2025","104.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10320"
"May-1-31-2025","24.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10321"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10322"
"May-1-31-2025","8.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10325"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10327"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10328"
"May-1-31-2025","88.00","0","0.0","47","0.00","{}","{}","{}","{}","EMB10329"
"May-1-31-2025","47.95","0","0.0","191","0.00","{}","{}","{}","{}","EMB10332"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10335"
"May-1-31-2025","55.50","1","0.0","0","0.00","{}","{}","{}","{}","EMB10336"
"May-1-31-2025","0.00","0","0.0","572","0.00","{}","{}","{}","{}","EMB10338"
"May-1-31-2025","87.97","0","0.0","0","0.00","{}","{}","{}","{}","EMB10339"
"May-1-31-2025","55.50","0","0.0","2","0.00","{}","{}","{}","{}","EMB10340"
"May-1-31-2025","88.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10341"
"May-1-31-2025","72.98","0","0.0","102","0.00","{}","{}","{}","{}","EMB10343"
"May-1-31-2025","75.13","0","0.0","87","0.00","{}","{}","{}","{}","EMB10345"
"May-1-31-2025","49.17","0","0.0","70","0.00","{}","{}","{}","{}","EMB10347"
"May-1-31-2025","79.08","0","0.0","68","0.00","{}","{}","{}","{}","EMB10348"
"May-1-31-2025","77.10","0","0.0","81","0.00","{}","{}","{}","{}","EMB10350"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10353"
"May-1-31-2025","67.48","0","0.0","84","0.00","{}","{}","{}","{}","EMB10354"
"May-1-31-2025","52.15","0","0.0","168","0.00","{}","{}","{}","{}","EMB10355"
"May-1-31-2025","24.00","2","0.0","0","0.00","{}","{}","{}","{}","EMB10356"
